Hver	hver	foken
einasti	einasti	lkenvf
litur	litur	nken
í	í	af
litaskalanum	litaskali	nkeþg
setur	setja	sfg3en
fram	fram	aa
þögla	þögull	lveosf
yfirlýsingu	yfirlýsing	nveo
til	til	af
áhorfandans	áhorfandi	nkeeg
.	.	pl

Hvernig	hvernig	aa
áhorfandinn	áhorfandi	nkeng
nemur	nema	sfg3en
litinn	litur	nkeog
er	vera	sfg3en
svo	svo	aa
undir	undir	af
ýmsu	ýmis	foheþ
komið	koma	sþghen
,	,	pk
til	til	af
dæmis	dæmi	nhee
hvernig	hvernig	aa
augu	auga	nhfn
hans	hann	fpkee
meðtaka	meðtaka	sfg3fn
liti	litur	nkfo
,	,	pk
og	og	c
hvaða	hvaða	fshfo
áhrif	áhrif	nhfo
umhverfi	umhverfi	nhen
,	,	pk
samfélag	samfélag	nhen
og	og	c
menning	menning	nven
hafa	hafa	sfg3fn
haft	hafa	sþghen
á	á	af
viðkomandi	viðkomandi	lkeoof
.	.	pl

Lita-sálarfræði	litasálarfræði	nven
er	vera	sfg3en
ónákvæm	ónákvæmur	lvensf
og	og	c
frekar	frekar	aam
óljós	óljós	lvensf
vísindagrein	vísindagrein	nven
sem	sem	ct
átti	eiga	sfg3eþ
lengi	lengi	aa
framan	framan	aa
af	af	aa
erfitt	erfiður	lheosf
uppdráttar	uppdráttur	nkee
sem	sem	ct
alvarleg	alvarlegur	lvensf
vísindagrein	vísindagrein	nven
.	.	pl

Hins	hinn	fakee
vegar	vegur	nkee
hefur	hafa	sfg3en
hún	hún	fpven
jafnframt	jafnframt	aa
verið	vera	sþghen
ein	einn	foven
sú	sá	faven
allra	allur	fovfe
vinsælasta	vinsæll	lvenve
.	.	pl

Litir	litur	nkfn
tengjast	tengja	sfm3fn
tilfinningum	tilfinning	nvfþ
og	og	c
hafa	hafa	sfg3fn
áhrif	áhrif	nhfo
á	á	af
undirmeðvitundina	undirmeðvitund	nveog
.	.	pl

Flestir	margur	lkfnse
hafa	hafa	sfg3fn
heyrt	heyra	sþghen
um	um	af
helstu	heldri	lhfove
áhrif	áhrif	nhfo
lita	litur	nkfe
á	á	af
tilfinningar	tilfinning	nvfo
okkar	ég	fp1fe
,	,	pk
til	til	af
dæmis	dæmi	nhee
að	að	c
litir	litur	nkfn
sem	sem	ct
flokkaðir	flokka	sþgkfn
eru	vera	sfg3fn
sem	sem	c
hlýjir	hlýr	lkfnsf
eða	eða	c
heitir	heitur	lkfnsf
litir	litur	nkfn
eins	eins	aa
og	og	c
appelsínugulur	appelsínugulur	lkensf
og	og	c
rauður	rauður	lkensf
gefa	gefa	sfg3fn
frá	frá	af
sér	sig	fpkfþ
strauma	straumur	nkfo
sem	sem	ct
eru	vera	sfg3fn
spennandi	spennandi	lkfnof
og	og	c
líflegir	líflegur	lkfnsf
.	.	pl

Gulur	gulur	lkensf
,	,	pk
rauður	rauður	lkensf
,	,	pk
grænn	grænn	lkensf
,	,	pk
og	og	c
blár	blár	lkensf
verða	verða	sfg3fn
til	til	af
umfjöllunnar	umfjalla	x
í	í	af
þessari	þessi	faveþ
röð	röð	nveþ
Bíótóna	Bíótónn	nkfe-s
og	og	c
ég	ég	fp1en
byrja	byrja	sfg1en
á	á	af
gula	gulur	lkeþvf
litnum	litur	nkeþg
.	.	pl

Í	í	af
þættinum	þáttur	nkeþg
ætla	ætla	sfg1en
ég	ég	fp1en
að	að	cn
leika	leika	sng
lög	lag	nhfo
sem	sem	ct
öll	allur	fohfn
tengjast	tengja	sfm3fn
gula	gulur	lkeþvf
litnum	litur	nkeþg
,	,	pk
hvort	hvort	c
sem	sem	c
það	það	fphen
er	vera	sfg3en
gegnum	gegnum	af
litaskalann	litaskali	nkeog
í	í	af
myndinni	mynd	nveþg
,	,	pk
titla	titill	nkfo
kvikmyndanna	kvikmynd	nvfeg
eða	eða	c
söngvanna	söngur	nkfeg
.	.	pl

Fyrst	fyrr	aae
er	vera	sfg3en
það	það	fphen
tónlist	tónlist	nven
úr	úr	af
kvikmynd	kvikmynd	nveþ
sem	sem	ct
er	vera	sfg3en
ef	ef	c
til	til	aa
vill	vilja	sfg3en
sú	sá	faven
sem	sem	ct
er	vera	sfg3en
allra	allur	fovfe
þekktust	þekktur	lvense
sem	sem	c
gul	gulur	lvensf
kvikmynd	kvikmynd	nven
.	.	pl

Tvöfalt	tvöfaldur	lhensf
líf	líf	nhen
Veroníku	Veroníku	n----s
eftir	eftir	af
Krysztof	Krysztof	n----s
Kieslowski	Kieslowski	n----s
.	.	pl

Pólski	pólskur	lkenvf
leikstjórinn	leikstjóri	nkeng
Krysztof	Krysztof	n----s
Kieslowski	Kieslowski	n----s
fæddist	fæða	sfm3eþ
í	í	af
Varsjá	Varsjá	nveþ-s
27.	27.	ta
júní	júní	nkeo
1941	1941	ta
,	,	pk
en	en	c
lést	láta	sfm3eþ
fyrir	fyrir	af
aldur	aldur	nkeo
fram	fram	aa
þann	sá	fakeo
13.	13.	ta
mars	mars	nkeo
1996	1996	ta
eftir	eftir	af
hjartaaðgerð	hjartaaðgerð	nveo
.	.	pl

Eftir	eftir	af
Kieslowski	Kieslowski	n----s
liggja	liggja	sfg3fn
margar	margur	lvfnsf
perlur	perla	nvfn
kvikmyndasögunnar	kvikmyndasaga	nveeg
,	,	pk
bæði	bæði	c
heimildamyndir	heimildamynd	nvfn
og	og	c
leiknar	leikinn	lvfnsf
kvikmyndir	kvikmynd	nvfn
.	.	pl

Þær	hún	fpvfn
myndir	mynd	nvfn
Kieslowski	Kieslowski	n----s
sem	sem	ct
flestir	margur	lkfnse
þekkja	þekkja	sfg3fn
eru	vera	sfg3fn
án	án	af
efa	efi	nkee
þríleikurinn	þríleikur	nkeng
,	,	pk
«	«	pg
Þrír	þrír	tfkfn
litir	litur	nkfn
:	:	pa
Blár	blár	lkensf
,	,	pk
Hvítur	hvítur	lkensf
,	,	pk
og	og	c
Rauður	rauður	lkensf
og	og	c
eflaust	eflaust	aa
muna	muna	sfg3fn
líka	líka	aa
margir	margur	lkfnsf
«	«	pg
Tvöfalt	tvöfaldur	lheosf
líf	líf	nheo
Veróníku	Veróníka	nvee-s
»	»	pg
.	.	pl

Þó	þó	aa
Kieslowski	Kieslowski	n----s
hafi	hafa	svg3en
gert	gera	sþghen
margar	margur	lvfosf
frábærar	frábær	lvfosf
myndir	mynd	nvfo
og	og	c
Boðorðin	Boðorð	nhfogs
tíu	tíu	tfhfo
áður	áður	aa
hen	en	x
hann	hann	fpken
gerði	gera	sfg3eþ
Tvöfalt	tvöfaldur	lheosf
líf	líf	nheo
Veróníku	Veróníka	nvee-s
árið	ár	nheog
1991	1991	ta
,	,	pk
var	vera	sfg3eþ
það	það	fphen
sú	sá	faven
mynd	mynd	nven
sem	sem	ct
vakti	vekja	sfg3eþ
athygli	athygli	nveo
umheimsins	umheimur	nkeeg
á	á	af
honum	hann	fpkeþ
.	.	pl

Myndin	mynd	nveng
skoðar	skoða	sfg3en
mannlegt	mannlegur	lheosf
eðli	eðli	nheo
á	á	af
nærfærinn	nærfærinn	lkeosf
hátt	háttur	nkeo
og	og	c
til	til	af
að	að	cn
fullkomna	fullkomna	sng
listaverkið	listaverk	nheog
er	vera	sfg3en
einstakur	einstakur	lkensf
leikur	leikur	nken
Irène	Irène	n----s
Jacob	Jacob	n----s
,	,	pk
frábær	frábær	lvensf
tónlist	tónlist	nven
Preisners	Preisner	nkee-s
og	og	c
falleg	fallegur	lvensf
myndataka	myndataka	nven
Slawomir	Slawomir	n----s
Idziak	Idziak	n----s
.	.	pl

Sagan	saga	nveng
segir	segja	sfg3en
frá	frá	af
tveimur	tveir	tfvfþ
stúlkum	stúlka	nvfþ
sem	sem	ct
eru	vera	sfg3fn
tvífarar	tvífari	nkfn
,	,	pk
önnur	annar	foven
býr	búa	sfg3en
í	í	af
Póllandi	Pólland	nheþ-s
en	en	c
hin	hinn	faven
í	í	af
Frakklandi	Frakkland	nheþ-s
.	.	pl

Á	á	af
óútskýranlegan	óútskýranlegur	lkeosf
hátt	háttur	nkeo
skynja	skynja	sfg3fn
þær	hún	fpvfn
tengsl	tengsl	nhfo
sem	sem	ct
þær	hún	fpvfn
eiga	eiga	sfg3fn
erfitt	erfiður	lheosf
með	með	af
að	að	cn
skilja	skilja	sng
.	.	pl

Kieslowski	Kieslowski	n----s
sagði	segja	sfg3eþ
um	um	af
«	«	pg
Tvöfalt	tvöfaldur	lheosf
líf	líf	nheo
Veróníku	Veróníka	nvee-s
»	»	pg
að	að	c
hún	hún	fpven
væri	vera	svg3eþ
viðkvæm	viðkvæmur	lvensf
mynd	mynd	nven
um	um	af
viðkvæmt	viðkvæmur	lheosf
fólk	fólk	nheo
.	.	pl

Sálfræðingur	sálfræðingur	nken

Laust	laus	lhensf
er	vera	sfg3en
til	til	af
umsóknar	umsókn	nvee
starf	starf	nhen
sálfræðings	sálfræðingur	nkee
á	á	af
fagsviði	fagsvið	nheþ
þroskahamlana	þroskahömlun	nvfe
.	.	pl

Starfið	starf	nheng
felst	fela	sfm3en
einkum	einkum	aa
í	í	af
greiningu	greining	nveþ
og	og	c
ráðgjöf	ráðgjöf	nveþ
vegna	vegna	af
barna	barn	nhfe
með	með	af
fatlanir	fötlun	nvfo
og	og	c
aðrar	annar	fovfo
alvarlegrar	alvarlegur	lvfosf
raskanir	röskun	nvfo
í	í	af
taugaþroska	taugaþroski	nkeþ
.	.	pl

Starfið	starf	nheng
fer	fara	sfg3en
fram	fram	aa
í	í	af
nánu	náinn	lheþsf
samstarfi	samstarf	nheþ
við	við	af
aðra	annar	fokfo
sérfræðinga	sérfræðingur	nkfo
á	á	af
þessu	þessi	faheþ
sviði	svið	nheþ
.	.	pl

Auk	auk	af
þessa	þessi	fahee
er	vera	sfg3en
um	um	af
að	að	cn
ræða	ræða	sng
þátttöku	þátttaka	nveo
í	í	af
rannsóknar-	rannsóknarstarf	kt
og	og	c
fræðslustarfi	fræðslustarf	nheþ
stofnunarinnar	stofnun	nveeg
.	.	pl

Leitað	leita	sþghen
er	vera	sfg3en
eftir	eftir	af
sálfræðingi	sálfræðingur	nkeþ
,	,	pk
sem	sem	ct
hyggur	hyggja	sfg3en
á	á	af
starfsferil	starfsferill	nkeo
á	á	af
þessum	þessi	fakeþ
vettvangi	vettvangur	nkeþ
.	.	pl

Æskileg	æskilegur	lvensf
er	vera	sfg3en
reynsla	reynsla	nven
á	á	af
sviði	svið	nheþ
greiningar	greining	nvee
þroskafrávika	þroskafrávik	nhfe
hjá	hjá	af
börnum	barn	nhfþ
og	og	c
áhugi	áhugi	nken
á	á	af
fræðslu	fræðsla	nveþ
og	og	c
rannsóknum	rannsókn	nvfþ
.	.	pl

Mikilvægt	mikilvægur	lhensf
er	vera	sfg3en
að	að	af
viðkomandi	viðkomandi	lkenof
búi	búa	svg3en
yfir	yfir	af
hæfni	hæfni	nveþ
í	í	af
mannlegum	mannlegur	lhfþsf
samskiptum	samskipti	nhfþ
og	og	c
sé	vera	svg3en
tilbúinn	tilbúinn	lkensf
til	til	af
þátttöku	þátttaka	nvee
í	í	af
þverfaglegu	þverfaglegur	lheþsf
samstarfi	samstarf	nheþ
.	.	pl

Boðið	bjóða	sþghen
er	vera	sfg3en
upp	upp	aa
á	á	af
handleiðslu	handleiðsla	nveo
.	.	pl

Laun	laun	nhfn
greiðast	greiða	sfm3fn
skv.	skv.	ks
kjarasamningi	kjarasamningur	nkeþ
viðkomandi	viðkomandi	lheeof
stéttarfélags	stéttarfélag	nhee
við	við	af
ríkissjóð	ríkissjóður	nkeo
.	.	pl

Frekari	frekur	lvfovm
upplýsingar	upplýsing	nvfo
gefur	gefa	sfg3en
sviðsstjóri	sviðsstjóri	nken
fagssviðs	fagssvið	nhee
þroskahamlana	þroskahömlun	nvfe
í	í	af
síma	sími	nkeþ
og	og	c
netfangi	netfang	nheþ
.	.	pl

Umsóknir	umsókn	nvfn
,	,	pk
ásamt	ásamt	af
upplýsingum	upplýsing	nvfþ
um	um	af
menntun	menntun	nveo
og	og	c
fyrri	fyrri	lhfovm
störf	starf	nhfo
,	,	pk
berist	bera	svm3fn
Greiningar-	greiningarstöð	kt
og	og	c
ráðgjafarstöð	ráðgjafarstöð	nveþ
ríkisins	ríki	nheeg
,	,	pk
Digranesvegi	Digranesvegur	nkeþ-s
5	5	ta
,	,	pk
200	200	ta
Kópavogi	Kópavogur	nkeþ-s
fyrir	fyrir	af
2.	2.	ta
júní	júní	nkeo
nk.	nk.	ks

XXI.	xxi.	ta

Vornámskeið	vornámskeið	nhfn
Greiningarstöðvar	Greiningarstöð	nvee-s
11.	11.	ta
og	og	c
12.	12.	ta
maí	maí	nkeo
2006	2006	ta
Hegðun	hegðun	nven
-	-	pa
Erfðir	erfð	nvfn
og	og	c
umhverfi	umhverfi	nhen

Fimmtudagur	fimmtudagur	nken
11.	11.	ta
maí	maí	nkeo
Setning	setning	nven
:	:	pa
Jón	Jón	nken-s
Kristjánsson	Kristjánsson	nken-s
,	,	pk
félagsmálaráðherra	félagsmálaráðherra	nken
.	.	pl

Hegðun	hegðun	nven
og	og	c
heili	heili	nken
-	-	pa
líffræði	líffræði	nven
hegðunar	hegðun	nvee

Pétur	Pétur	nken-s
Lúðvígsson	Lúðvígsson	nken-s
,	,	pk
barnalæknir	barnalæknir	nken
Barnaspítala	Barnaspítali	nkeþ-s
Hringsins	Hringur	nkeegs
.	.	pl

Hegðun	hegðun	nven
og	og	c
umhverfi	umhverfi	nhen
-	-	pa
áhrif	áhrif	nhfn
uppeldis	uppeldi	nhee

Birna	Birna	nven-s
María	María	nven-s
Svanbjörnsdóttir	Svanbjörnsdóttir	nven-s
,	,	pk
sérfræðingur	sérfræðingur	nken
HA	HA	n----s
.	.	pl

Hegðun	hegðun	nven
ung-	ungbarn	kt
og	og	c
smábarna	smábarn	nhfe
.	.	pl

Gyða	Gyða	nven-s
Haraldsdóttir	Haraldsdóttir	nven-s
,	,	pk
sálfræðingur	sálfræðingur	nken
MHB	MHB	n----s
.	.	pl

Eðlileg	eðlilegur	lvensf
hegðun	hegðun	nven
barna	barn	nhfe
á	á	af
leikskólaaldri	leikskólaaldur	nkeþ
.	.	pl

Hrönn	Hrönn	nven-s
Pálmadóttir	Pálmadóttir	nven-s
,	,	pk
lektor	lektor	nken
KHÍ	KHÍ	n----s
.	.	pl

Eðlileg	eðlilegur	lvensf
hegðun	hegðun	nven
barna	barn	nhfe
á	á	af
grunnskólaaldri	grunnskólaaldur	nkeþ
.	.	pl

Wilhelm	Wilhelm	nken-s
Norðfjörð	Norðfjörð	nken-s
,	,	pk
sálfræðingur	sálfræðingur	nken
.	.	pl

Helstu	heldri	lvfnve
geðraskanir	geðröskun	nvfn
barna	barn	nhfe
.	.	pl

Ólafur	Ólafur	nken-s
Ó.	Ó.	ks
Guðmundsson	Guðmundsson	nken-s
,	,	pk
yfirlæknir	yfirlæknir	nken
BUGL	BUGL	n----s
.	.	pl

Mat	mat	nhen
á	á	af
hegðunarvanda	hegðunarvandi	nkeþ
-	-	pa
gildi	gildi	nhen
taugasálfræðilegra	taugasálfræðilegur	lhfesf
prófa	próf	nhfe
.	.	pl

Málfríður	Málfríður	nven-s
Lorange	Lorange	nven-s
,	,	pk
sálfræðingur	sálfræðingur	nken
BUGL	BUGL	n----s
.	.	pl

Hegðunar-	hegðunarvandi	kt
og	og	c
tilfinningavandi	tilfinningavandi	nken
hjá	hjá	af
börnum	barn	nhfþ
með	með	af
fötlun	fötlun	nveo
.	.	pl

Solveig	Solveig	nven-s
Sigurðardóttir	Sigurðardóttir	nven-s
,	,	pk
barnalæknir	barnalæknir	nken
Greiningarstöð	greiningarstöð	nveþ-s
.	.	pl

Þjónusta	þjónusta	nven
við	við	af
börn	barn	nhfo
með	með	af
geðraskanir	geðröskun	nvfo
-	-	pa
forvarnir	forvörn	nvfn
til	til	af
framtíðar	framtíð	nvee
.	.	pl

Geir	Geir	nken-s
Gunnlaugsson	Gunnlaugsson	nken-s
,	,	pk
barnalæknir	barnalæknir	nken
og	og	c
forstöðumaður	forstöðumaður	nken
MHB	MHB	n----s

Föstudagur	föstudagur	nken
12.	12.	ta
maí	maí	nken
Atferlisgreining	atferlisgreining	nven
-	-	pa
áhrifaríkar	áhrifaríkur	lvfnsf
leiðir	leið	nvfn
til	til	af
að	að	cn
hjálpa	hjálpa	sng
börnum	barn	nhfþ
að	að	cn
aðlagast	aðlaga	snm
námsumhverfi	námsumhverfi	nheþ
sínu	sinn	feheþ

Dr.	Dr.	ks
Zuilma	Zuilma	n----s
Gabríela	Gabríela	nven-s
Sigurðardóttir	Sigurðardóttir	nven-s
,	,	pk
dósent	dósent	nken
HÍ	HÍ	n----s
.	.	pl

Hugræn	hugrænn	lvensf
atferlismeðferð	atferlismeðferð	nven
-	-	pa
hvenær	hvenær	aa
,	,	pk
hvernig	hvernig	aa
og	og	c
fyrir	fyrir	af
hvern	hver	fokeo
?	?	pl

Dr.	Dr.	ks
Urður	Urður	nven-s
Njarðvík	Njarðvík	nken-s
,	,	pk
sálfræðingur	sálfræðingur	nken
á	á	af
BUGL	BUGL	n----s
og	og	c
stundakennari	stundakennari	nken
HÍ	HÍ	n----s
.	.	pl

PBS	PBS	n----s
-	-	pa
stuðningur	stuðningur	nken
við	við	af
jákvæða	jákvæður	lveosf
hegðun	hegðun	nveo
hjá	hjá	af
börnum	barn	nhfþ
með	með	af
fötlun	fötlun	nveo
.	.	pl

Hrund	Hrund	nven-s
Sigurðardóttir	Sigurðardóttir	nven-s
og	og	c
Þuríður	Þuríður	nven-s
Pétursdóttir	Pétursdóttir	nven-s
,	,	pk
sálfræðingar	sálfræðingur	nkfn
Greiningarstöð	Greiningarstöð	nveþ-s
.	.	pl

Lyfjameðferð	lyfjameðferð	nven
-	-	pa
stuðningur	stuðningur	nken
við	við	af
aðra	annar	foveo
meðferð	meðferð	nveo
.	.	pl

Bertrand	Bertrand	n----s
Lauth	Lauth	n----s
,	,	pk
barnageðlæknir	barnageðlæknir	nken
BUGL	BUGL	n----s
.	.	pl

Fræðsla	fræðsla	nven
og	og	c
þjálfun	þjálfun	nven
fyrir	fyrir	af
foreldra	foreldrar	nkfo

Gylfi	Gylfi	nken-s
Jón	Jón	nken-s
Gylfason	Gylfason	nken-s
,	,	pk
sálfræðingur	sálfræðingur	nken
Fræðsluskrifstofu	Fræðsluskrifstofa	nveþ-s
Reykjanesbæjar	Reykjanesbær	nkee-s
.	.	pl

PMT	PMT	n----s
-	-	pa
foreldraverkfærakassinn	foreldraverkfærakassi	nkeng
.	.	pl

Margrét	Margrét	nven-s
Sigmarsdóttir	Sigmarsdóttir	nven-s
,	,	pk
sálfræðingur	sálfræðingur	nken
Skólaskrifstofu	Skólaskrifstofa	nveþ-s
Hafnarfjarðar	Hafnarfjörður	nkee-s

Ert	vera	sfg2en
þú	þú	fp2en
móðir	móðir	nven
barns	barn	nhee
með	með	af
sérþarfir	sérþörf	nvfo
á	á	af
aldrinum	aldur	nkeþg
0	0	ta
til	til	af
þriggja	þrír	tfhfe
ára	ár	nhfe
?	?	pl

Óskað	óska	sþghen
er	vera	sfg3en
eftir	eftir	af
þátttakendum	þátttakandi	nkfþ
í	í	af
rannsóknina	rannsókn	nveog
Tónræn	tónrænn	lvensf
umönnun	umönnun	nven

Ábyrgðarmaður	ábyrgðarmaður	nken
rannsóknarinnar	rannsókn	nveeg
er	vera	sfg3en
dr.	dr.	ks
Tryggvi	Tryggvi	nken-s
Sigurðsson	Sigurðsson	nken-s
,	,	pk
sálfræðingur	sálfræðingur	nken
og	og	c
sérfræðingur	sérfræðingur	nken
í	í	af
fötlun	fötlun	nveþ
barna	barn	nhfe
.	.	pl

Stjórn	stjórn	nveþ
Sjónarhóls	Sjónarhóll	nkee-s
-	-	pa
ráðgjafarmiðstöðvar	ráðgjafarmiðstöð	nvee
ses	SES	x
er	vera	sfg3en
kunnugt	kunnugur	lhensf
um	um	af
rannsóknina	rannsókn	nveog
.	.	pl

Stjórnin	stjórn	nveng
telur	telja	sfg3en
viðfangsefni	viðfangsefni	nheo
hennar	hún	fpvee
áhugavert	áhugaverður	lheosf
og	og	c
verðugt	verðugur	lheosf
.	.	pl

Ennfremur	ennfremur	aa
telur	telja	sfg3en
stjórnin	stjórn	nveng
að	að	c
þátttaka	þátttaka	nven
í	í	af
rannsókninni	rannsókn	nveþg
geti	geta	svg3en
reynst	reyna	sþmhen
mæðrum	móðir	nvfþ
barna	barn	nhfe
með	með	af
sérþarfir	sérþörf	nvfo
gagnleg	gagnlegur	lvensf
til	til	af
úrvinnslu	úrvinnsla	nvee
á	á	af
erfiðri	erfiður	lveþsf
reynslu	reynsla	nveþ
.	.	pl

Rannsóknin	rannsókn	nveng
hefur	hafa	sfg3en
verið	vera	sþghen
samþykkt	samþykkja	sþgven
af	af	af
Vísindasiðanefnd	Vísindasiðanefnd	nveþ-s
og	og	c
tilkynnt	tilkynna	sþghen
til	til	af
Persónuverndar	Persónuvernd	nvee-s
.	.	pl

Ef	ef	c
þú	þú	fp2en
hefur	hafa	sfg2en
spurningar	spurning	nvfo
um	um	af
rétt	réttur	nkeo
þinn	þinn	fekeo
sem	sem	ct
þátttakandi	þátttakandi	nken
í	í	af
vísindarannsókn	vísindarannsókn	nveþ
eða	eða	c
vilt	vilja	sfg2en
hætta	hætta	sng
þátttöku	þátttaka	nveþ
í	í	af
rannsókninni	rannsókn	nveþg
getur	geta	sfg2en
þú	þú	fp2en
snúið	snúa	sþghen
þér	þú	fp2eþ
til	til	af
Vísindasiðanefndar	Vísindasiðanefnd	nvee-s
,	,	pk
Vegmúla	Vegmúli	nkeþ-s
3	3	ta
,	,	pk
108	108	ta
Reykjavík	Reykjavík	nveþ-s
.	.	pl

Rannsóknin	rannsókn	nveng
er	vera	sfg3en
námsverkefni	námsverkefni	nhen
til	til	af
doktorsprófs	doktorspróf	nhee
í	í	af
músíkþerapíu	músíkþerapía	nveþ
við	við	af
háskólann	háskóli	nkeog
í	í	af
Álaborg	Álaborg	nveþ-s
.	.	pl

Rannsakandi	rannsakandi	nken
er	vera	sfg3en
Valgerður	Valgerður	nven-s
Jónsdóttir	Jónsdóttir	nven-s
,	,	pk
B.M.	B.M.	ks
,	,	pk
M.A.	M.A.	ks
,	,	pk
RMT	RMT	n----s

Meira	mikill	lhenvm
um	um	af
rannsóknina	rannsókn	nveog
...	...	pa

Tónstofa	tónstofa	nven
Valgerðar	Valgerður	nvee-s

Hátúni	Hátún	nheþ-s
12	12	ta
,	,	pk
105	105	ta
Reykjavík	Reykjavík	nveþ-s
www.tonsvj.net	www.tonsvj.net	v

XXI.	xxi.	ta

vornámskeið	vornámskeið	nhen
Greiningar-	greiningarstöð	kt
og	og	c
ráðgjafarstöðvar	ráðgjafarstöð	nvee
ríkisins	ríki	nheeg
,	,	pk
verður	verða	sfg3en
haldið	halda	sþghen
á	á	af
Grand	Grand	n-eþ-s
hóteli	hótel	nheþ
11.	11.	ta
og	og	c
12.	12.	ta
maí	maí	nkeo
2006	2006	ta
.	.	pl

Yfirskriftin	yfirskrift	nveng
er	vera	sfg3en
að	að	af
þessu	þessi	faheþ
sinni	sinn	nheþ
:	:	pa
Hegðun	Hegðun	nven-s
-	-	pa
erfðir	erfð	nvfn
og	og	c
umhverfi	umhverfi	nhen
.	.	pl

Skráning	skráning	nven

Námskeiðið	námskeið	nheng
er	vera	sfg3en
ætlað	ætla	sþghen
leik-	leikskólakennari	kt
og	og	c
grunnskólakennurum	grunnskólakennari	nkfþ
,	,	pk
þroskaþjálfum	þroskaþjálfi	nkfþ
og	og	c
öðrum	annar	fokfþ
,	,	pk
sem	sem	ct
starfa	starfa	sfg3fn
með	með	af
börnum	barn	nhfþ
með	með	af
Williamsheilkenni	Williamsheilkenni	nheo
.	.	pl

Tekið	taka	sþghen
verður	verða	sfg3en
mið	mið	nhen
af	af	af
börnum	barn	nhfþ
á	á	af
aldrinum	aldur	nkeþg
2-12	2-12	ta
ára	ár	nhfe
.	.	pl

Einnig	einnig	aa
ætlað	ætla	sþghen
foreldrum	foreldrar	nkfþ
og	og	c
öðrum	annar	fokfþ
aðstandendum	aðstandandi	nkfþ
.	.	pl

Markmið	markmið	nhen

Efla	efla	sng
skilning	skilningur	nkeo
og	og	c
auka	auka	sng
þekkingu	þekking	nveo
á	á	af
þörfum	þörf	nvfþ
barna	barn	nhfe
með	með	af
Williamsheilkenni	Williamsheilkenni	nheo
.	.	pl

Efla	efla	sng
færni	færni	nveo
og	og	c
þekkingu	þekking	nveo
við	við	af
þjálfun	þjálfun	nveo
og	og	c
kennslu	kennsla	nveo
í	í	af
leik-	leikskóli	kt
og	og	c
grunnskóla	grunnskóli	nkeþ
.	.	pl

Auka	auka	sng
gæði	gæði	nhfo
þeirrar	sá	favee
þjónustu	þjónusta	nvee
sem	sem	ct
börnum	barn	nhfþ
með	með	af
Williamsheilkenni	Williamsheilkenni	nheo
og	og	c
fjölskyldum	fjölskylda	nvfþ
þeirra	það	fphfe
er	vera	sfg3en
veitt	veita	sþgven
.	.	pl

Skapa	skapa	sng
vettvang	vettvangur	nkeo
fyrir	fyrir	af
fólk	fólk	nheo
sem	sem	ct
vinnur	vinna	sfg3en
að	að	af
sambærilegum	sambærilegur	lhfþsf
verkefnum	verkefni	nhfþ
og	og	c
getur	geta	sfg3en
miðlað	miðla	sþghen
sín	sig	fphee
á	á	aa
milli	milli	af
.	.	pl

Efni	efni	nhen
og	og	c
vinnulag	vinnulag	nhen

Fjallað	fjalla	sþghen
verður	verða	sfg3en
um	um	af
heilsufarslega	heilsufarslegur	lkfosf
þætti	þáttur	nkfo
hjá	hjá	af
börnum	barn	nhfþ
með	með	af
Williamsheilkenni	Williamsheilkenni	nheo
,	,	pk
þroskamynstur	þroskamynstur	nheo
og	og	c
þroskaferli	þroskaferli	nheo
,	,	pk
með	með	af
hliðsjón	hliðsjón	nveþ
af	af	af
eðli	eðli	nheþ
fötlunarinnar	fötlun	nveeg
,	,	pk
þróun	þróun	nveþ
hennar	hún	fpvee
og	og	c
horfum	horfa	nvfþ
.	.	pl

Fjallað	fjalla	sþghen
verður	verða	sfg3en
um	um	af
snemmtæka	snemmtækur	lveosf
íhlutun	íhlutun	nveo
og	og	c
helstu	heldri	lkfove
þætti	þáttur	nkfo
sem	sem	ct
þurfa	þurfa	sfg3fn
að	að	cn
koma	koma	sng
við	við	af
sögu	saga	nveo
í	í	af
leikskólanum	leikskóli	nkeþg
og	og	c
heima	heima	aa
,	,	pk
s.s.	s.s.	ks
samvinna	samvinna	nven
,	,	pk
stuðningur	stuðningur	nken
,	,	pk
einstaklingsmiðuð	einstaklingsmiðaður	lvensf
námskrá	námskrá	nven
,	,	pk
örvun	örvun	nven
og	og	c
þjálfun	þjálfun	nven
.	.	pl

Einnig	einnig	aa
verður	verða	sfg3en
fjallað	fjalla	sþghen
um	um	af
hegðun	hegðun	nveo
og	og	c
atferli	atferli	nheo
og	og	c
kynnt	kynna	sþghen
nýstofnað	nýstofnaður	lhensf
foreldrafélag	foreldrafélag	nhen
.	.	pl

Námskeiðið	námskeið	nheng
byggist	byggja	sfm3en
á	á	af
fyrirlestrum	fyrirlestur	nkfþ
,	,	pk
umræðum	umræða	nvfþ
og	og	c
verkefnum	verkefni	nhfþ
í	í	af
hópum	hópur	nkfþ
.	.	pl

Unnið	vinna	sþghen
verður	verða	sfg3en
með	með	af
dæmi	dæmi	nhfo
úr	úr	af
starfi	starf	nheþ
.	.	pl

Skráning	skráning	nven
á	á	af
námskeiðið	námskeið	nheog
er	vera	sfg3en
hér	hér	aa
